GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
CP006482.1	468558	Saccharomyces cerevisiae YJM326	Saccharomyces cerevisiae YJM326 mitochondrion, complete genome	91172	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5546	0
JF799107.1	38945	Flammulina velutipes	Flammulina velutipes mitochondrion, complete genome	88395	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina	4	16.5467	0
CP006522.2	1294345	Saccharomyces cerevisiae YJM1307	Saccharomyces cerevisiae YJM1307 mitochondrion, complete genome	79737	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5298	0
CP006483.1	947044	Saccharomyces cerevisiae YJM428	Saccharomyces cerevisiae YJM428 mitochondrion, complete genome	85782	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5196	0
CP006535.1	1294358	Saccharomyces cerevisiae YJM1386	Saccharomyces cerevisiae YJM1386 mitochondrion, complete genome	85554	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.5053	0.175439
NC_021373.1	38945	Flammulina velutipes	Flammulina velutipes strain 4019-20 mitochondrion, complete genome	88508	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina	4	16.4983	0
CP006537.1	1294360	Saccharomyces cerevisiae YJM1388	Saccharomyces cerevisiae YJM1388 mitochondrion, complete genome	77572	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.4616	0.193424
CP006563.1	1294386	Saccharomyces cerevisiae YJM1574	Saccharomyces cerevisiae YJM1574 mitochondrion, complete genome	79923	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.4261	0.37594
CP006478.1	1294307	Saccharomyces cerevisiae YJM248	Saccharomyces cerevisiae YJM248 mitochondrion, complete genome	86593	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3813	0.17331
CP006530.2	1294353	Saccharomyces cerevisiae YJM1355	Saccharomyces cerevisiae YJM1355 mitochondrion, complete genome	79419	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3806	0.189036
NC_031512.1	230603	Saccharomyces uvarum	Saccharomyces uvarum strain CBS 395 mitochondrion, complete genome	64779	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3666	0
CP028778.1	4909	Pichia kudriavzevii	Pichia kudriavzevii strain CBS573 mitochondrion, complete genome	51340	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	3	16.3606	0
CP006513.1	1294336	Saccharomyces cerevisiae YJM1202	Saccharomyces cerevisiae YJM1202 mitochondrion, complete genome	90638	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3245	0
CP006512.1	1294335	Saccharomyces cerevisiae YJM1199	Saccharomyces cerevisiae YJM1199 mitochondrion, complete genome	90633	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3234	0
NC_031513.1	4931	Saccharomyces bayanus	Saccharomyces bayanus strain CBS 380 mitochondrion, complete genome	64736	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3202	0
CP006521.1	1294344	Saccharomyces cerevisiae YJM1304	Saccharomyces cerevisiae YJM1304 mitochondrion, complete genome	81083	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.3074	0
CP006525.1	1294348	Saccharomyces cerevisiae YJM1332	Saccharomyces cerevisiae YJM1332 mitochondrion, complete genome	81501	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2885	0.368324
CP006557.1	1294380	Saccharomyces cerevisiae YJM1478	Saccharomyces cerevisiae YJM1478 mitochondrion, complete genome	83765	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2808	0.358423
CP004115.1	1296266	Saccharomyces cerevisiae YJM1078	Saccharomyces cerevisiae YJM1078 mitochondrion, complete genome	82025	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2527	0.18315
KP712781.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae isolate DBVPG1106 mitochondrion, complete genome	78172	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2508	0
CP006559.1	1294382	Saccharomyces cerevisiae YJM1526	Saccharomyces cerevisiae YJM1526 mitochondrion, complete genome	81825	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2446	0.366972
CP006510.1	1294333	Saccharomyces cerevisiae YJM1133	Saccharomyces cerevisiae YJM1133 mitochondrion, complete genome	84963	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2426	0.176678
BEGW01000033.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae DNA, contig: mitochondrion, whole genome shotgun sequence	79230	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2285	0.189394
CP006546.1	1294369	Saccharomyces cerevisiae YJM1419	Saccharomyces cerevisiae YJM1419 mitochondrion, complete genome	84604	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2258	0
CP006509.1	1293430	Saccharomyces cerevisiae YJM1129	Saccharomyces cerevisiae YJM1129 mitochondrion, complete genome	81706	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2194	0.183824
CP006486.1	1294311	Saccharomyces cerevisiae YJM453	Saccharomyces cerevisiae YJM453 mitochondrion, complete genome	82494	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2137	0.364299
CP006523.1	1294346	Saccharomyces cerevisiae YJM1311	Saccharomyces cerevisiae YJM1311 mitochondrion, complete genome	87022	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2092	0.172414
CP006541.1	1294364	Saccharomyces cerevisiae YJM1401	Saccharomyces cerevisiae YJM1401 mitochondrion, complete genome	81306	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.2017	0.184502
CP006489.1	1294314	Saccharomyces cerevisiae YJM541	Saccharomyces cerevisiae YJM541 mitochondrion, complete genome	87003	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1736	0.172414
CP006490.1	1294315	Saccharomyces cerevisiae YJM554	Saccharomyces cerevisiae YJM554 mitochondrion, complete genome	87008	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1713	0.344828
CP006484.1	1294310	Saccharomyces cerevisiae YJM450	Saccharomyces cerevisiae YJM450 mitochondrion, complete genome	86522	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1678	0.173611
CP006481.1	947042	Saccharomyces cerevisiae YJM320	Saccharomyces cerevisiae YJM320 mitochondrion, complete genome	86949	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1612	0.345423
CP006485.1	502869	Saccharomyces cerevisiae YJM451	Saccharomyces cerevisiae YJM451 mitochondrion, complete genome	84234	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1545	0
CP006565.1	1294388	Saccharomyces cerevisiae YJM1615	Saccharomyces cerevisiae YJM1615 mitochondrion, complete genome	84325	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.153	0.177936
CP006543.1	1294366	Saccharomyces cerevisiae YJM1415	Saccharomyces cerevisiae YJM1415 mitochondrion, complete genome	83950	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1443	0.178891
CP006504.1	1294329	Saccharomyces cerevisiae YJM987	Saccharomyces cerevisiae YJM987 mitochondrion, complete genome	78974	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1369	0.570342
CP006501.1	1294326	Saccharomyces cerevisiae YJM978	Saccharomyces cerevisiae YJM978 mitochondrion, complete genome	78916	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1369	0.570342
CP006502.1	1294327	Saccharomyces cerevisiae YJM981	Saccharomyces cerevisiae YJM981 mitochondrion, complete genome	78916	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1369	0.570342
CP006505.1	1294330	Saccharomyces cerevisiae YJM990	Saccharomyces cerevisiae YJM990 mitochondrion, complete genome	78916	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1369	0.570342
NC_027264.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae isolate NCYC3594 mitochondrion, complete genome	78917	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1356	0.570342
CP006516.1	1294339	Saccharomyces cerevisiae YJM1244	Saccharomyces cerevisiae YJM1244 mitochondrion, complete genome	83285	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1345	0.18018
CP006500.1	1294325	Saccharomyces cerevisiae YJM975	Saccharomyces cerevisiae YJM975 mitochondrion, complete genome	78950	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1343	0.570342
CP006499.1	1294324	Saccharomyces cerevisiae YJM972	Saccharomyces cerevisiae YJM972 mitochondrion, complete genome	78907	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1331	0.570342
CP006503.1	1294328	Saccharomyces cerevisiae YJM984	Saccharomyces cerevisiae YJM984 mitochondrion, complete genome	78907	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1331	0.570342
CP006506.1	1294331	Saccharomyces cerevisiae YJM993	Saccharomyces cerevisiae YJM993 mitochondrion, complete genome	78907	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1331	0.570342
CP006507.1	1294332	Saccharomyces cerevisiae YJM996	Saccharomyces cerevisiae YJM996 mitochondrion, complete genome	78907	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1331	0.570342
KP712791.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae isolate L1528 mitochondrion, complete genome	82253	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1277	0.182482
CP006514.1	1294337	Saccharomyces cerevisiae YJM1208	Saccharomyces cerevisiae YJM1208 mitochondrion, complete genome	84252	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.126	0.356506
CP006498.1	1294323	Saccharomyces cerevisiae YJM969	Saccharomyces cerevisiae YJM969 mitochondrion, complete genome	79066	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.124	0.379507
CP006526.1	1294349	Saccharomyces cerevisiae YJM1336	Saccharomyces cerevisiae YJM1336 mitochondrion, complete genome	82967	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.1109	0.361664
CM004311.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae strain GLBRCY22-3 mitochondrion, complete sequence, whole genome shotgun sequence	82897	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0978	0
CP006511.2	1294334	Saccharomyces cerevisiae YJM1190	Saccharomyces cerevisiae YJM1190 mitochondrion, complete genome	88996	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0922	0
CP006561.1	1294384	Saccharomyces cerevisiae YJM1549	Saccharomyces cerevisiae YJM1549 mitochondrion, complete genome	78275	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0793	0.191939
CP006488.1	1294313	Saccharomyces cerevisiae YJM470	Saccharomyces cerevisiae YJM470 mitochondrion, complete genome	83571	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0778	0.179533
NC_031184.1	114524	Saccharomyces kudriavzevii	Saccharomyces kudriavzevii mitochondrion, complete genome	72095	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0681	0
CP006544.1	1294367	Saccharomyces cerevisiae YJM1417	Saccharomyces cerevisiae YJM1417 mitochondrion, complete genome	82284	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.062	0.364964
CP006496.1	1294321	Saccharomyces cerevisiae YJM689	Saccharomyces cerevisiae YJM689 mitochondrion, complete genome	84098	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0524	0
CP006519.1	1294342	Saccharomyces cerevisiae YJM1252	Saccharomyces cerevisiae YJM1252 mitochondrion, complete genome	83856	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0465	0.357782
CP006531.1	1294354	Saccharomyces cerevisiae YJM1356	Saccharomyces cerevisiae YJM1356 mitochondrion, complete genome	84849	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	16.0295	0
AP012028.1	721032	Saccharomyces cerevisiae Kyokai no. 7	Saccharomyces cerevisiae Kyokai no. 7 mitochodrial DNA, complete genome	82005	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.989	0.18315
EU004203.1	307796	Saccharomyces cerevisiae YJM789	Saccharomyces cerevisiae YJM789 mitochondrion, complete genome	86214	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.9559	0
CP006547.1	1294370	Saccharomyces cerevisiae YJM1433	Saccharomyces cerevisiae YJM1433 mitochondrion, complete genome	81976	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.9512	0.3663
CP006474.1	1294303	Saccharomyces cerevisiae YJM189	Saccharomyces cerevisiae YJM189 mitochondrion, complete genome	80811	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.9455	0.743494
NC_031185.1	114525	Saccharomyces mikatae	Saccharomyces mikatae mitochondrion, complete genome	73485	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.925	0
CP006527.1	1294350	Saccharomyces cerevisiae YJM1338	Saccharomyces cerevisiae YJM1338 mitochondrion, complete genome	80970	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.8615	0.185529
NC_012619.1	51657	Nakaseomyces delphensis	Nakaseomyces delphensis mitochondrion, complete genome	37016	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	15.8482	0
CP006493.1	1294318	Saccharomyces cerevisiae YJM681	Saccharomyces cerevisiae YJM681 mitochondrion, complete genome	81045	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.8432	0.185185
NC_036377.1	27289	Naumovozyma dairenensis	Naumovozyma dairenensis strain Y-1353 mitochondrion, complete genome	46425	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	3	15.795	0
CP006536.1	1294359	Saccharomyces cerevisiae YJM1387	Saccharomyces cerevisiae YJM1387 mitochondrion, complete genome	80666	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7939	0.558659
CP006558.1	1294381	Saccharomyces cerevisiae YJM1479	Saccharomyces cerevisiae YJM1479 mitochondrion, complete genome	88309	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7914	0.510204
CP006540.2	1294363	Saccharomyces cerevisiae YJM1400	Saccharomyces cerevisiae YJM1400 mitochondrion, complete genome	88307	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7891	0.510204
KP712803.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae isolate DBVPG1788 mitochondrion, complete genome	79389	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7807	0.378072
MG269479.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae strain I-30 mitochondrion, complete genome	87571	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7473	0
MG269481.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae strain I-566 mitochondrion, complete genome	80886	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7427	0
CP006551.1	1294374	Saccharomyces cerevisiae YJM1444	Saccharomyces cerevisiae YJM1444 mitochondrion, complete genome	83736	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7384	0
CP006477.1	1294306	Saccharomyces cerevisiae YJM244	Saccharomyces cerevisiae YJM244 mitochondrion, complete genome	80737	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7311	0.185874
CP006524.1	1294347	Saccharomyces cerevisiae YJM1326	Saccharomyces cerevisiae YJM1326 mitochondrion, complete genome	85887	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.7075	0
CP006479.1	1294308	Saccharomyces cerevisiae YJM270	Saccharomyces cerevisiae YJM270 mitochondrion, complete genome	82331	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.6934	0.182482
CP006487.1	1294312	Saccharomyces cerevisiae YJM456	Saccharomyces cerevisiae YJM456 mitochondrion, complete genome	79631	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.6415	0.188679
MG269480.1	4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae strain I-329 mitochondrion, complete genome	80204	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.5431	0.187266
CP006491.1	1294316	Saccharomyces cerevisiae YJM555	Saccharomyces cerevisiae YJM555 mitochondrion, complete genome	84193	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.5318	0
CP006556.1	1294379	Saccharomyces cerevisiae YJM1477	Saccharomyces cerevisiae YJM1477 mitochondrion, complete genome	79244	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.5215	0.568182
KY287650.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	80270	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.4754	0
MH718505.1	230603	Saccharomyces uvarum	Saccharomyces uvarum strain r23 mitochondrion, partial genome	64682	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.437	0
CP006515.1	1294338	Saccharomyces cerevisiae YJM1242	Saccharomyces cerevisiae YJM1242 mitochondrion, complete genome	95658	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.4139	0.313972
KY287647.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	76223	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.3268	0
NC_009638.1	36033	Vanderwaltozyma polyspora	Vanderwaltozyma polyspora mitochondrion, complete genome	21684	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Vanderwaltozyma	3	15.3009	0
NC_031514.1	114526	Saccharomyces cariocanus	Saccharomyces cariocanus strain CBS 7994 mitochondrion, complete genome	77380	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.2647	0
NC_013147.1	5007	Brettanomyces bruxellensis	Dekkera bruxellensis mitochondrion, complete genome	76453	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	4	15.2102	0
LS990930.1	5007	Brettanomyces bruxellensis	Brettanomyces bruxellensis genome assembly, scaffold: chrM, organelle: mitochondrion, whole genome shotgun sequence	75320	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	4	15.1992	0
NC_018056.1	4934	Lachancea kluyveri	Lachancea kluyveri mitochondrion, complete genome	51679	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	15.1163	0
CP006550.2	1294373	Saccharomyces cerevisiae YJM1443	Saccharomyces cerevisiae YJM1443 mitochondrion, complete genome	77958	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.115	0.192678
HE774680.1	4934	Lachancea kluyveri	Lachancea kluyveri complete mitochondrial genome, strain 55-86.1	51464	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	15.0826	0
CP006553.1	1294376	Saccharomyces cerevisiae YJM1450	Saccharomyces cerevisiae YJM1450 mitochondrion, complete genome	76603	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.0641	0
CP006539.1	1294362	Saccharomyces cerevisiae YJM1399	Saccharomyces cerevisiae YJM1399 mitochondrion, complete genome	73450	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	15.0252	0
CP006560.1	1294383	Saccharomyces cerevisiae YJM1527	Saccharomyces cerevisiae YJM1527 mitochondrion, complete genome	78592	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.9815	0
KY287641.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	73276	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.9262	0
CP006545.1	1294368	Saccharomyces cerevisiae YJM1418	Saccharomyces cerevisiae YJM1418 mitochondrion, complete genome	76794	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.8519	0.195695
KY287642.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	74030	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.7816	0
KM595072.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus strain YPS138 mitochondrion, complete genome	71271	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.7396	0
CP006520.1	1294343	Saccharomyces cerevisiae YJM1273	Saccharomyces cerevisiae YJM1273 mitochondrion, complete genome	77475	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.7339	0
CP006548.1	1294371	Saccharomyces cerevisiae YJM1434	Saccharomyces cerevisiae YJM1434 mitochondrion, complete genome	77515	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.7313	0.193798
CP006529.1	1294352	Saccharomyces cerevisiae YJM1342	Saccharomyces cerevisiae YJM1342 mitochondrion, complete genome	85762	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.6947	0
NC_021611.1	281847	Rozella allomycis	Rozella allomycis mitochondrion, complete genome	12055	Cryptomycota	Rozella				4	14.475	0
KY287648.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	77660	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.4436	0
KX657741.1	706196	Saccharomyces arboricola	Saccharomyces arboricola strain NRRL Y-63701 mitochondrion, complete genome	69363	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.4286	0
CP006542.1	1294365	Saccharomyces cerevisiae YJM1402	Saccharomyces cerevisiae YJM1402 mitochondrion, complete genome	78309	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.4125	0.191571
CP006562.1	1294385	Saccharomyces cerevisiae YJM1573	Saccharomyces cerevisiae YJM1573 mitochondrion, complete genome	78385	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.4087	0
NC_031511.1	706196	Saccharomyces arboricola	Saccharomyces arboricola strain CBS 10644 mitochondrion, complete genome	71124	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.3896	0
KP712796.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus isolate N44 mitochondrion, complete genome	69821	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.2939	0
KP712786.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus isolate IFO1804 mitochondrion, complete genome	70150	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.2827	0
KP712782.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus isolate Q62.5 mitochondrion, complete genome	69634	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.1638	0
NC_036380.1	273131	[Candida] bracarensis	[Candida] bracarensis strain Y-48270 mitochondrion, complete genome	46138	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	14.0999	0
NC_018044.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	71355	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.0674	0
CP006552.1	1294375	Saccharomyces cerevisiae YJM1447	Saccharomyces cerevisiae YJM1447 mitochondrion, complete genome	74237	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	14.0189	0.202429
KP712793.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus isolate Y6.5 mitochondrion, complete genome	69461	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	13.9813	0
KP712779.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus isolate S36.7 mitochondrion, complete genome	69473	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	13.9784	0
KY287646.1	27291	Saccharomyces paradoxus	Saccharomyces paradoxus mitochondrion, complete genome	71351	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	3	13.8821	0
NC_012620.1	51914	[Candida] castellii	Candida castellii mitochondrion, complete genome	50294	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	12.5871	0
NC_012621.1	51660	Nakaseomyces bacillisporus	Nakaseomyces bacillisporus mitochondrion, complete genome	107123	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	3	10.887	0
KU888698.1	36035	Saccharomycodes ludwigii	Saccharomycodes ludwigii strain Y-974 mitochondrion, complete genome	67017	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Saccharomycodes	3	8.43049	0
